book_id,book_name,user_id,author,review_text,ratings,review_date,source
1728213746,I Love You Like No Otter A Funny and Sweet Animal Board Book for Babies and Toddlers this Christmas Punderland,Shayla,Rose Rossner,Great book so cute and I love reading it to my son and hope he Carries it on to his family when he has one of his own I love reading him books like these even tho hes only two months Definitely worth the money,5,2023-10-14,Customer
1250866448,Friends Lovers and the Big Terrible Thing A Memoir,California Dreaming,Matthew Perry,Ill admit I rarely watched Friends when episodes first aired My wife started binge watching it a couple years ago or so probably during the pandemic and so I started watching it with her I do think that I was a little too hard on the show though as I always thought that it was a bit of a Seinfeld ripoff In reality there are enough differences in the shows that now after watching the entire series of each Ive relaxed my criticism A bitAnd I rarely read autobiographies or what people usually call memoirs nowadays I usually am reading truecrime books in particular those about serial killers I did read Cmon Get Happy Fear and Loathing on the Partridge Family Bus CGH from David Cassidy in 2021 and I actually liked Mr Cassidy LESS after reading his memoir I kind of wish I wouldnt have read CGH and just remembered him instead from his time on the show Its just that I found Mr Cassidy to be a bit of a braggart while reading and while I finished CGH I was struggling to even care towards the end Im guessing that Susan Dey felt the same AhemNow rarely does Matthew Perry brag during Friends Lovers and the Big Terrible Thing A Memoir FLB about himself He does discuss how much money he made during filming of Friends and I dont have a problem with that mostly because he discusses how David Schwimmer actually was instrumental in negotiating a great deal for the entire cast and not just for Mr Schwimmer In reality Mr Perry is far more selfdeprecating in FLB than Mr Cassidy is in CGH Mr Perry doesnt seem to hide much when it comes to his struggles with addiction and if he does underplay it well he must be REALLY bad Mr Perry discusses how he was taking up to 55 pain killers a day and that is extreme For those who dont know pain killers tend to dry you out and slow down digestion so I have no idea how someone could take that many for any length of time and surviveWell Mr Perry almost didnt surviveMr Perry was rushed by a friend from one of his many stints in rehab to the hospital and the people running the rehab facility tried to stop him If they had been successful Mr Perry surely wouldve died Heck he still shouldve died in the hospital even though he had probably the best care that money could buy From memory he said that only two percent of people survive on the machine required to keep him alive and I think he also called it a Hail MaryOverall I really liked FLB and I actually read it in one day As a matter of fact I couldnt sleep last night and kept picking up my Kindle device and would continue reading Usually readers might say I couldnt put it down but I might say I couldnt leave it down Over and over I picked up my device opened the Kindle app and continued from my last bookmark Luckily for me Kindle apps save the bookmark for me and thats only one of the reasons I tend to almost only read digital I will buy a paperback or a hardcover version but only if I MUST read a book and there is no digital versionBut still FLB is not a perfect book far from it Towards the end I think that Mr Perry starts to repeat himself and I got the feeling that he was on a tight deadline and just hammered out the last few chapters I dont know if he first created an outline I think that all authors should do so at an early phase in writing but I think a good outline wouldve really helped create a more polished effort Its also the case that Mr Perry has a tendency to use too many parentheticals and that becomes a bit of a distraction for the readerNot that it bothers me but it might bother some readers Mr Perry does discuss religion or at least God quite a bit towards the end If religion is a turnoff I think that FLB may not be for you Mr Perry does seem to think that God helped keep him alive maybe even helped him break some addictions and that is fine by me I cant prove it either way and it is Mr Perrys memoir so he has a right to think and write whatever he chooses Personally I appreciate his honestyMr Perry does admit going into open houses and swiping pain meds from home sellers and that reminded me a lot of Ryan Leaf I think that Mr Leaf used to do the same thing and it got that exNFL player quite a few years in prison for it From a legal standpoint if I were Mr Perry and I were writing a memoir I think I might not have disclosed this I am not a lawyer and I dont know what legal troubles it could cause him nowThere has been quite a bit of noise about how Mr Perry tends to kiss and tell and I think thats overblown a bit He does discuss how he and Valerie Bertinelli made out within just a few feet of Eddie Van Halen after Mr Van Halen had passed out from drinking too much wine Hey I guess Ive been there myself so I wont judge Um from Mr Van Halens perspective and not necessarily from Mr Perrys But Mr Perry doesnt really dwell on it too much I can understand how Ms Bertinelli feels about the disclosure although of course Mr Van Halen is no longer with us If Mr Van Halen were still alive I believe that Mr Perry probably wouldnt even bring it up Just a guessWell if youre a fan of Friends and Matthew Perry and you like to read memoirs Ill give a fairly strong recommendation for Friends Lovers and the Big Terrible Thing If you dont fit that criteria perhaps you might want to read something else But if youre a fan of David Cassidy from The Partridge Family Ill recommend you pass on his memoir Sometimes its better to only remember the good things about your heroes after all,4,2022-02-11,Customer
1442450703,Chicka Chicka Boom Boom Board Book,amy larrow,Bill Martin Jr John Archambault,Great classic book Gift for a new dad to be Arrived right on time,5,2023-07-10,Customer
1668009048,The Woman in Me,Kayce,Britney Spears,The world has had access to Britney Spears memoir for one week and bookstagram is flooded with opinions and reviews But since this is the latest KAYCE 5 STAR I have to tell you why and leave you MY full reviewIve been a Britney fan since day one and have seen the relentless paparazzi coverage of her for 20 years Everyone has an opinion on Britney judge her and think they know everything based on what theyve seen in magazines and online Finally speaking for herself this memoir tells us about all those stories we think we knew but from HER perspectiveWhile the memes and reels about Justin are pretty funny since this came out Britney went through a very traumatic experience with him you know the one and our girl held that in for TWENTY YEARS And why wouldnt she Thats an incredibly personal decision and all the while the media villainized her and praised him I really dont care what Justin thinks about Britneys revelations He made his choices then and shes making her choices now Never once does she victimize herself but simply tells us how she felt through all the ups and downs Personally and professionallyYou get fun stories too about her favorite album favorite performances celebs she admires and more Britney admits she is not good at fame girl we know and none of us would be either If Britney never gets on another stage for the rest of her life I wouldnt blame her for one second But given how healing music is for her I wouldnt be surprised if we got more music one day And if its on her terms I bet it will be the best shes ever releasedSince THE WOMAN IN ME is just 275 pages I thought it would feel short and unfinished but she did a great job recapping up to present day Shes so brave and stronger than she realizes and her love for her sons is on every page Cheers to Britney may she continue to heal and surround herself with people who love her and dont want to use or exploit her She still has her beautiful heart despite everything and I think thats a huge testament to her strengthHighly recommend my besties memoir 5 stars,5,2023-10-31,Customer
143127748,The Body Keeps the Score Brain Mind and Body in the Healing of Trauma,Wolf,Bessel van der Kolk,I have never cried while reading a book before but that changed reading this book If you have PTSD or know someone who does get your handkerchief ready This was not an easy read for me as it made me realize how much trauma I had buried and forgotten years ago I am grateful for it as I can now begin working towards healingI believe this book was written more for mental health practitioners but it was not written in a way that was difficult to understand or follow If you have PTSD or know someone who does I recommend reading through this book,5,2023-10-14,Customer
1728213746,I Love You Like No Otter A Funny and Sweet Animal Board Book for Babies and Toddlers this Christmas Punderland,D M Peparata,Rose Rossner,I bought this product for my friends granddaughter and the girl is absolutely delighted with the pictures and the little characters that it shows Its a cute book,5,2023-10-23,Customer
1454952776,Dont Let the Pigeon Drive the Sleigh,Jenny Davis,Mo Willems,Very cute and typical of the Dont let the Pigeon series I have enjoyed all of this series and this was a great addition,5,2023-10-13,Customer
761455299,Turkey Trouble,Rachel Striker,Wendi Silvano,My son was reading this at school so I ordered a copy for home Although I enjoy the story Im not sure if I love it for my preschooler But Thanksgiving ending with pizza always sounds like a good plan,4,2022-12-24,Customer
1492670022,The Complete Cookbook for Young Chefs 100 Recipes that Youll Love to Cook and Eat,jcbme,Americas Test Kitchen Kids,Once you get past the visual effect of all those words and pictures crammed together it reveals some nice if mostly predictable recipes but also some unexpected and helpful tips Though its written as if for a child get an adults help I think preteen children might be rather daunted by the books layout With adult help though it could be helpful to preteens and teens alike,4,2023-10-31,Customer
1646115538,I Am Thankful A Thanksgiving Book for Kids,Cheyrle,Sheri Wall,The story line of this book is very confusing and hard to understandfollow for young children,3,2022-11-16,Customer
